team,targeted_productivity,smv,over_time,incentive,no_of_workers,Y
5,0.5,20.79,7680,0,56,0.388007813
5,0.5,4.15,1440,0,8,0.337973485
3,0.75,4.15,1440,0,8,0.93532197
4,0.8,3.94,3600,0,20,0.925643939
9,0.8,26.16,10620,88,59,0.900215716
1,0.8,3.94,1440,0,8,0.873068182
9,0.8,3.94,1440,0,8,0.858143939
1,0.8,26.16,10620,75,59,0.850502311
7,0.8,25.9,10170,45,56.5,0.850136766
8,0.8,25.9,10170,60,56.5,0.850136766
10,0.8,3.94,1440,0,8,0.828295455
2,0.8,3.94,1440,0,8,0.820833333
6,0.8,11.41,5490,50,30.5,0.800343766
12,0.8,11.61,5670,50,31.5,0.800246753
2,0.8,28.08,10530,63,58.5,0.8
10,0.8,28.08,10530,38,58.5,0.8
3,0.8,19.87,6420,0,55,0.690182815
11,0.8,4.15,1440,0,8,0.668087121
8,0.8,2.9,1440,0,8,0.653598485
5,0.5,4.15,1440,0,8,0.609138258
11,0.6,12.52,9540,30,53,0.600229846
6,0.8,2.9,1440,0,8,0.597348485
7,0.8,2.9,1440,0,8,0.590435606
4,0.8,50.48,10440,0,58,0.473134796
5,0.6,20.79,7980,0,57,0.452979626
1,0.8,3.94,1440,0,8,0.955151515
4,0.35,4.3,3240,0,18,0.942213805
3,0.8,4.15,1800,0,10,0.905454545
2,0.8,3.94,1440,0,8,0.880530303
9,0.8,3.94,1440,0,8,0.858143939
1,0.8,26.16,8220,75,59,0.850522167
9,0.8,26.16,10620,75,59,0.850502311
7,0.8,25.9,10170,60,56.5,0.850136766
8,0.8,25.9,10170,60,56.5,0.850136766
6,0.8,2.9,1440,0,8,0.817424242
5,0.65,4.15,1440,0,8,0.809564394
3,0.8,19.87,9900,0,55,0.800273829
6,0.8,11.41,5670,50,31.5,0.800181818
12,0.8,11.61,4470,50,31.5,0.80007657
2,0.8,28.08,10530,63,58.5,0.8
8,0.8,2.9,1440,0,8,0.725
10,0.8,50.48,6930,45,58.5,0.688557555
5,0.65,20.79,8460,0,59,0.650040783
11,0.65,12.52,9540,44,53,0.64998056
7,0.8,2.9,1440,0,8,0.648106061
11,0.8,4.15,1440,0,8,0.640577652
4,0.35,22.4,7350,0,51.5,0.35063299
10,0.8,3.94,1440,0,8,0.24625
4,0.35,4.3,2160,0,12,0.952020202
1,0.8,3.94,1440,0,2,0.951420455
10,0.8,3.94,5400,0,20,0.912766667
3,0.8,4.15,1620,0,9,0.901262626
9,0.8,3.94,1440,0,8,0.858143939
1,0.8,26.16,10620,75,59,0.850502311
9,0.8,26.16,10620,75,59,0.850502311
8,0.8,25.9,10260,60,57,0.850252525
7,0.8,25.9,10170,60,56.5,0.850136766
5,0.65,4.15,1440,0,8,0.821354167
2,0.8,3.94,1440,0,8,0.805909091
6,0.8,11.61,5670,50,31.5,0.800246753
12,0.8,11.61,5670,50,31.5,0.800246753
2,0.8,28.08,10530,50,58.5,0.8
3,0.8,42.27,9900,54,55,0.705576584
8,0.8,2.9,1440,0,8,0.681060606
7,0.8,2.9,1440,0,8,0.670075758
11,0.8,4.15,1440,0,8,0.601278409
11,0.7,27.13,9540,37,53,0.582301029
5,0.7,20.79,10440,0,58,0.526810345
4,0.5,22.4,10170,23,56.5,0.500380799
10,0.35,22.4,10170,23,56.5,0.35020649
11,0.8,4.15,1980,0,7,0.934607438
4,0.35,4.3,2700,0,8,0.908080808
7,0.8,25.9,10170,70,56.5,0.900144811
1,0.8,3.94,1440,0,8,0.891723485
5,0.65,4.15,1440,0,15,0.864583333
9,0.8,3.94,1440,0,8,0.858143939
9,0.8,26.16,10620,75,59,0.850502311
8,0.8,25.9,10170,60,56.5,0.850136766
7,0.8,2.9,1440,0,8,0.837594697
3,0.8,4.15,1440,0,7,0.820833333
12,0.8,11.61,2970,50,31.5,0.800313433
6,0.8,11.61,5670,38,31.5,0.800246753
1,0.8,26.16,10620,63,59,0.800117103
5,0.7,20.79,7320,0,58,0.700095563
8,0.8,2.9,1440,0,8,0.667329545
4,0.6,22.4,5100,23,57,0.600369686
10,0.5,22.4,3390,23,56.5,0.499980334
11,0.35,14.61,7200,23,55,0.35003125
10,0.8,3.94,1260,0,8,0.332359307
2,0.8,51.02,4260,27,57,0.311207464
2,0.8,3.94,1260,0,8,0.247316017
4,0.35,4.3,3600,0,20,0.988636364
10,0.8,3.94,3420,0,19,0.953110048
1,0.8,3.94,1440,0,8,0.884261364
5,0.65,4.15,1440,0,8,0.860653409
9,0.8,3.94,1440,0,8,0.858143939
1,0.8,26.16,10620,75,59,0.850502311
8,0.8,25.9,8970,60,56.5,0.850415628
7,0.8,25.9,10170,60,56.5,0.850136766
9,0.8,26.16,10620,63,59,0.800117103
6,0.8,11.61,4950,38,31.5,0.80003139
12,0.8,11.61,4950,50,31.5,0.80003139
5,0.7,20.79,10440,0,58,0.700060345
7,0.8,2.9,1440,0,8,0.689299242
3,0.5,22.52,10170,30,56.5,0.660683293
4,0.65,22.52,10080,26,56,0.650130952
8,0.8,2.9,1440,0,8,0.606912879
10,0.6,22.52,10170,23,56.5,0.600291767
11,0.5,14.89,9900,30,55,0.500025069
2,0.5,22.94,9810,23,54.5,0.499998888
5,0.65,4.15,2700,0,15,0.98719697
2,0.8,3.94,1800,0,10,0.980909091
10,0.8,3.94,1440,0,8,0.974621212
1,0.8,3.94,1440,0,8,0.884261364
9,0.8,3.94,1800,0,10,0.82680303
6,0.8,11.41,5490,63,30.5,0.800343766
12,0.8,11.61,5670,63,31.5,0.800246753
7,0.8,25.9,10170,50,56.5,0.800128721
8,0.8,25.9,10170,50,56.5,0.800128721
1,0.8,48.68,10620,63,59,0.800117103
9,0.8,26.16,10620,63,59,0.800117103
2,0.6,22.94,6570,23,56.5,0.77011398
4,0.7,22.52,10170,50,56.5,0.7005417
8,0.8,2.9,1440,0,8,0.675568182
7,0.8,2.9,1440,0,8,0.661837121
10,0.65,22.52,9720,35,54,0.650198653
3,0.6,22.52,10170,30,56.5,0.600291767
11,0.6,14.89,10080,38,56,0.600273268
6,0.8,2.9,900,0,5,0.465757576
5,0.7,41.19,10440,21,58,0.452012539
11,0.8,4.15,1260,0,7,0.313852814
5,0.6,4.15,1440,0,8,0.852793561
11,0.65,4.15,2160,0,12,0.838383838
6,0.8,2.9,1800,0,10,0.804848485
6,0.8,11.41,5490,63,30.5,0.800343766
7,0.8,48.84,10170,50,56.5,0.800128721
8,0.8,25.9,10170,38,56.5,0.800128721
9,0.8,26.16,3660,50,59,0.800015009
4,0.7,22.52,10170,50,56.5,0.7005417
10,0.7,22.52,10080,40,56,0.700094156
7,0.8,2.9,1440,0,8,0.692045455
12,0.8,26.87,5670,56,31.5,0.662255892
3,0.65,22.52,10170,35,56.5,0.650416734
11,0.65,14.89,10260,44,57,0.650299575
2,0.65,22.94,10170,26,56.5,0.650243497
8,0.8,2.9,1440,0,8,0.639867424
5,0.6,20.4,10440,30,58,0.600062696
9,0.8,3.94,1800,0,10,0.582045455
1,0.8,49.1,10350,24,57.5,0.403242161
10,0.7,3.94,1440,0,8,0.235795455
4,0.7,4.3,5040,0,28,0.977272727
9,0.8,3.94,1800,0,10,0.964106061
5,0.65,4.15,1440,0,8,0.958901515
6,0.8,11.41,4380,50,31,0.800358775
8,0.8,25.9,3630,50,56.5,0.800162602
9,0.8,26.16,10620,63,59,0.800117103
12,0.8,2.9,1440,0,8,0.793844697
2,0.7,22.94,10170,38,56.5,0.750517565
4,0.7,22.52,10260,63,57,0.750068049
3,0.7,22.52,10170,50,56.5,0.750062751
10,0.7,22.52,10080,63,56,0.750057359
11,0.7,14.89,10260,50,57,0.700170388
8,0.8,2.9,1440,0,8,0.683806818
5,0.65,20.4,8280,35,58,0.650066445
7,0.8,48.84,10260,30,57,0.576460393
1,0.5,22.94,10170,30,56.5,0.549969429
10,0.7,3.94,1440,0,8,0.538399621
11,0.7,4.15,1440,0,8,0.409545455
12,0.35,15.26,6120,23,34,0.35021836
5,0.7,4.15,1440,0,8,1.033570076
6,0.8,11.41,5580,63,31,0.800261486
8,0.8,25.9,10170,50,56.5,0.800128721
9,0.8,26.16,10620,63,59,0.800117103
4,0.7,22.52,10260,63,57,0.750068049
10,0.7,22.52,10080,63,56,0.750057359
3,0.7,22.52,8460,50,57,0.750037968
2,0.7,22.94,10260,50,57,0.750031898
9,0.8,3.94,1800,0,10,0.72830303
11,0.7,14.89,10260,50,57,0.700170388
5,0.7,20.4,10260,50,57,0.700063796
8,0.8,2.9,1440,0,8,0.639867424
12,0.5,15.26,3720,23,34,0.500290419
7,0.35,22.94,10080,30,56,0.400332792
11,0.7,4.15,2700,0,15,0.362666667
4,0.75,4.3,6000,0,20,0.978525641
2,0.7,3.94,5100,0,17,0.912202112
4,0.75,22.52,10080,94,56,0.900556277
6,0.8,11.61,5760,75,89,0.850410511
9,0.8,3.94,2400,0,8,0.827147436
8,0.8,25.9,7470,38,56.5,0.800436542
2,0.7,22.94,10500,60,57,0.800415742
10,0.7,22.52,10080,75,56,0.800020563
5,0.7,4.15,2400,0,8,0.758173077
5,0.7,20.4,10440,50,58,0.750344828
3,0.7,22.52,10260,63,57,0.750068049
11,0.7,14.89,10260,50,57,0.700170388
1,0.65,22.94,10260,34,57,0.700029771
12,0.6,15.26,6360,23,34,0.60017284
8,0.8,2.9,2400,0,8,0.594871795
9,0.8,54.56,4140,29,58,0.520237649
1,0.65,3.94,2400,0,8,0.505128205
7,0.5,22.52,10080,23,56,0.500241342
11,0.7,4.15,2700,0,9,0.470769231
7,0.6,3.94,6000,0,10,0.957638889
10,0.75,3.94,8400,0,14,0.940701058
4,0.75,22.52,10080,81,56,0.849983766
2,0.7,22.94,10620,60,57,0.800302791
6,0.8,11.61,6360,63,32,0.800191989
10,0.75,22.52,10080,55,56,0.800020563
1,0.7,22.94,12180,63,57,0.750162367
3,0.7,22.52,10260,63,57,0.750068049
5,0.7,4.15,9000,0,15,0.742901235
5,0.7,20.4,10440,40,58,0.700250784
11,0.7,14.89,10260,50,57,0.700170388
4,0.75,4.3,9000,0,15,0.670216049
1,0.7,3.94,15000,0,25,0.649662222
2,0.7,3.94,15000,0,25,0.649662222
6,0.8,2.9,4800,0,8,0.626822917
12,0.6,15.26,6960,23,34,0.600436426
7,0.6,22.52,10260,23,57,0.60041361
8,0.8,40.99,10770,30,56.5,0.555500132
9,0.5,29.12,10440,30,58,0.500547544
3,0.7,3.94,12000,0,20,0.460578704
8,0.8,2.9,4800,0,8,0.397743056
12,0.6,4.08,5400,0,9,0.327407407
5,0.7,4.15,2700,0,15,0.966666667
10,0.75,3.94,1800,0,10,0.937242424
8,0.8,2.9,1620,0,9,0.910521886
2,0.75,22.94,10260,94,57,0.90064806
4,0.75,22.52,10260,94,57,0.900321106
11,0.75,4.15,1800,0,10,0.896022727
3,0.75,3.94,1440,0,8,0.895454545
7,0.65,3.94,2160,0,12,0.870580808
12,0.7,4.08,1620,0,9,0.858585859
1,0.7,22.94,10260,75,57,0.800643806
10,0.75,22.52,10080,69,56,0.80062987
6,0.8,11.61,5640,63,32,0.800537143
3,0.75,22.52,10260,69,57,0.80035194
12,0.75,15.26,6120,40,34,0.750079323
11,0.75,42.97,10260,56,57,0.750041201
5,0.7,20.4,10440,50,58,0.700250784
4,0.75,4.3,2160,0,12,0.651515152
7,0.65,22.52,10170,26,56.5,0.650416734
9,0.6,29.12,6660,23,58,0.600125217
2,0.75,3.94,1440,0,8,0.578314394
1,0.7,3.94,1440,0,8,0.578314394
8,0.35,15.09,9360,23,52,0.34998951
9,0.6,3.94,1440,0,8,0.261174242
5,0.7,4.15,3060,0,17,0.973796791
2,0.75,3.94,1440,0,8,0.970075758
1,0.7,3.94,1440,0,8,0.970075758
3,0.75,3.94,1620,0,9,0.961784512
10,0.75,3.94,3420,0,19,0.955151515
4,0.75,4.3,2160,0,12,0.952020202
4,0.75,22.52,10260,94,57,0.900321106
2,0.75,22.94,10530,81,58.5,0.850223776
1,0.7,22.94,10530,75,58.5,0.800909609
3,0.75,22.52,10350,55,57.5,0.800513307
6,0.8,11.61,5760,63,32,0.800386364
10,0.75,22.52,10080,69,56,0.800020563
7,0.65,3.94,2520,0,14,0.749188312
7,0.7,22.52,10170,40,56.5,0.7005417
12,0.7,15.26,6120,40,34,0.70043672
5,0.7,20.4,10440,50,58,0.700250784
9,0.65,29.12,10440,26,58,0.650407524
12,0.7,4.08,1620,0,9,0.618181818
11,0.75,42.97,10260,40,57,0.59114168
8,0.5,15.09,720,23,52,0.500061916
8,0.8,2.9,720,0,4,0.329545455
3,0.75,3.94,1800,0,10,1.059621212
10,0.75,3.94,3780,0,21,0.997792208
4,0.75,4.3,2160,0,12,0.963699495
5,0.7,4.15,2700,0,15,0.959191919
2,0.75,3.94,1800,0,10,0.910378788
1,0.7,3.94,1800,0,10,0.910378788
4,0.8,22.52,10170,60,56.5,0.850312684
6,0.8,11.61,5760,50,32,0.800386364
3,0.75,22.52,10260,69,57,0.80035194
2,0.75,22.94,10260,55,57,0.800034024
1,0.7,22.94,10440,60,58,0.800023511
10,0.75,22.52,10080,55,56,0.800020563
12,0.7,4.08,1620,0,9,0.769292929
5,0.75,20.4,10320,56,58,0.750031447
9,0.7,29.12,10440,40,58,0.70061442
12,0.7,15.26,6120,40,34,0.70043672
7,0.65,3.94,1440,0,8,0.646306818
8,0.6,15.09,360,23,52,0.600143365
11,0.35,28.08,10260,23,57,0.350066986
2,0.75,22.52,6840,119,57,1.000230409
3,0.75,22.52,6840,119,57,1.000230409
10,0.8,3.94,1440,0,12,0.979527778
4,0.8,4.3,1440,0,12,0.940625
5,0.5,4.15,1440,0,12,0.926388889
10,0.8,22.52,6720,70,56,0.900129762
3,0.75,3.94,1440,0,12,0.861875
4,0.8,22.52,6780,60,56.5,0.850312684
8,0.65,3.94,960,0,8,0.845458333
12,0.7,4.15,1080,0,9,0.823555556
7,0.5,4.15,960,0,8,0.803541667
1,0.75,22.94,6960,55,58,0.800263218
2,0.75,3.94,1200,0,10,0.788
1,0.75,3.94,1200,0,10,0.77815
9,0.7,29.12,6960,50,58,0.700386207
12,0.7,15.26,4080,40,34,0.700164706
8,0.65,15.09,240,23,52,0.650307143
6,0.8,30.4,3840,34,32,0.622828125
6,0.8,2.9,960,0,8,0.6225
5,0.5,20.79,6960,30,58,0.500035345
11,0.5,48.18,6480,23,54,0.37046657
2,0.8,22.52,6840,90,57,1.000230409
3,0.8,22.52,6840,113,57,1.000230409
6,0.35,2.9,1800,0,15,0.977555556
1,0.75,3.94,1200,0,10,0.9456
2,0.8,3.94,1800,0,15,0.902222222
10,0.8,22.52,6720,60,56,0.850532143
1,0.75,22.94,6960,81,58,0.850362069
10,0.8,3.94,1200,0,10,0.840533333
5,0.6,20.79,6960,88,58,0.800534483
4,0.8,22.52,6780,50,56.5,0.800489676
12,0.75,4.08,1080,0,9,0.755555556
9,0.7,29.12,6960,63,58,0.750593103
12,0.75,15.26,3600,45,35,0.750283333
4,0.8,4.3,1440,0,12,0.722638889
8,0.65,4.15,960,0,8,0.553333333
11,0.5,20.1,5880,46,54,0.500567308
8,0.7,38.09,6240,0,52,0.467693269
6,0.35,18.79,1800,23,32,0.437995338
7,0.6,3.94,960,0,8,0.406354167
7,0.6,23.54,6600,0,55,0.285333333
11,0.5,2.9,960,0,8,0.259375
2,0.8,22.52,6840,113,57,1.000230409
4,0.8,4.3,1200,0,10,0.989
3,0.8,22.52,6840,100,57,0.950185965
4,0.8,22.52,6900,88,57.5,0.9008
10,0.8,22.52,6720,88,56,0.900129762
6,0.5,2.9,1200,0,10,0.899
8,0.65,4.15,960,0,8,0.877552083
11,0.6,2.9,960,0,8,0.864583333
10,0.8,3.94,1200,0,10,0.85695
1,0.75,3.94,1200,0,10,0.853666667
1,0.75,22.94,6960,81,58,0.850362069
9,0.7,29.12,6960,53,58,0.850170115
5,0.65,20.79,7080,81,59,0.800473729
2,0.8,3.94,1200,0,10,0.773333333
12,0.75,15.26,4200,45,35,0.750646667
12,0.75,4.08,1080,0,9,0.634666667
11,0.6,20.1,4320,46,51,0.60059761
6,0.5,18.79,3960,23,33,0.500117677
3,0.8,3.94,960,0,8,0.4925
7,0.65,23.54,6600,0,55,0.48792
3,0.8,22.52,6960,113,58,1.000457471
2,0.8,22.52,6840,113,57,1.000230409
2,0.8,3.94,1200,0,10,0.971866667
3,0.8,3.94,960,0,8,0.971866667
4,0.8,3.94,1200,0,10,0.971866667
10,0.8,3.94,1200,0,10,0.971866667
1,0.75,3.94,1800,0,15,0.971866667
9,0.75,3.94,240,0,2,0.971866667
12,0.75,4.08,1080,0,9,0.971866667
5,0.7,3.94,240,0,2,0.971866667
7,0.7,3.94,1200,0,10,0.971866667
8,0.65,3.94,960,0,8,0.971866667
11,0.65,3.94,600,0,5,0.971866667
6,0.6,3.94,1200,0,10,0.971866667
10,0.8,22.52,6720,93,56,0.920236905
4,0.8,22.52,6660,88,57.5,0.900537069
9,0.75,29.12,6840,81,57,0.850610526
1,0.75,22.94,6960,81,58,0.850362069
12,0.75,15.26,4200,45,35,0.750646667
5,0.7,50.89,5880,56,59,0.656763743
11,0.65,20.1,6480,49,54,0.650148148
6,0.6,18.79,3960,23,33,0.600710606
7,0.7,23.54,6720,0,56,0.388830357
8,0.5,23.54,6480,0,54,0.286984568
8,0.65,4.15,960,0,8,1.0115625
2,0.8,22.52,6900,113,57.5,1.000671304
1,0.8,22.94,3060,113,58.5,1.000402055
1,0.75,3.94,2280,0,19,0.950438596
3,0.8,22.52,6840,100,57,0.950185965
2,0.8,3.94,1200,0,10,0.912766667
7,0.7,3.94,2160,0,18,0.892194444
10,0.8,3.94,1200,0,10,0.8865
10,0.8,22.52,6720,75,56,0.850532143
4,0.8,22.52,7020,60,58.5,0.85011396
4,0.8,4.3,1440,0,12,0.845069444
9,0.75,29.12,6960,45,58,0.750593103
12,0.75,15.26,1440,45,35,0.750450658
12,0.75,4.08,1080,0,9,0.702666667
11,0.7,20.1,6120,75,54,0.700508929
6,0.65,18.79,3960,26,33,0.651007071
8,0.6,24.26,6600,0,55,0.466821212
7,0.7,24.26,6720,0,56,0.411553571
6,0.6,2.9,1200,0,10,0.314166667
1,0.8,22.94,7020,113,58.5,1.000602279
9,0.75,3.94,960,0,8,0.994270833
2,0.8,22.52,7020,88,58.5,0.900158405
3,0.8,22.52,6840,70,57,0.90014152
10,0.8,22.52,6720,88,56,0.900129762
10,0.8,3.94,1200,0,10,0.85695
4,0.8,4.3,1440,0,12,0.809236111
12,0.8,15.26,3600,63,35,0.800401961
4,0.8,22.52,5940,50,56.5,0.800393224
9,0.75,29.12,6960,55,58,0.799963218
12,0.75,4.08,1080,0,9,0.740444444
11,0.7,20.55,6480,60,54,0.700398148
6,0.7,18.79,3960,30,33,0.700354545
8,0.65,4.15,960,0,8,0.561979167
1,0.75,3.94,2280,0,19,0.504596491
5,0.5,30.1,6960,0,58,0.500801724
7,0.7,24.26,6720,0,56,0.295307738
6,0.6,2.9,1200,0,10,0.280333333
8,0.65,24.26,6600,0,55,0.260978788
2,0.8,3.94,2400,0,20,1.001416667
1,0.8,22.52,6900,113,57.5,1.000018551
10,0.8,22.52,6720,90,56,0.999995238
1,0.8,3.94,1200,0,10,0.99485
8,0.7,4.15,960,0,8,0.976979167
3,0.8,22.52,6840,100,57,0.950185965
2,0.8,22.52,6960,100,58,0.949981609
9,0.75,3.94,1320,0,11,0.919954545
4,0.8,22.52,5460,63,56.5,0.800434622
12,0.8,15.26,2040,50,35,0.800259023
12,0.8,4.08,1080,0,9,0.778222222
9,0.75,29.12,6960,34,58,0.750593103
11,0.7,25.31,5760,60,54,0.700513566
6,0.7,18.79,4020,30,33.5,0.700184577
8,0.7,24.26,6660,0,55.5,0.586465465
7,0.7,24.26,6720,0,56,0.541517857
4,0.8,4.3,1440,0,12,0.5375
6,0.7,2.9,960,0,8,0.495416667
5,0.6,30.1,6960,0,58,0.415172414
