Ticker,Name,City,State,Industry,Sector,FullTimeEmployees,AuditRisk,BoardRisk,OverallRisk,PreviousClose,Open,DividendRate,PayoutRatio,Beta,TrailingPE,ForwardPE,Volume,AverageVolume,MarketCap,PriceToSalesTrailing12Months,TwoHundredDayAverage,EnterpriseValue,ProfitMargins,FloatShares,SharesOutstanding,SharesShort,HeldPercentInstitutions,ShortRatio,ShortPercentOfFloat,BookValue,PriceToBook,EarningsQuarterlyGrowth,NetIncomeToCommon,TrailingEps,ForwardEps,PegRatio,EnterpriseToRevenue,EnterpriseToEbitda,52WeekChange,CurrentPrice,TargetMeanPrice,TargetMedianPrice,RecommendationMean,RecommendationKey,NumberOfAnalystOpinions,TotalCash,TotalCashPerShare,Ebitda,TotalDebt,QuickRatio,CurrentRatio,TotalRevenue,DebtToEquity,RevenuePerShare,ReturnOnAssets,ReturnOnEquity,FreeCashflow,OperatingCashflow,EarningsGrowth,RevenueGrowth,GrossMargins,EbitdaMargins,OperatingMargins
ALGN,"Align Technology, Inc.",Tempe,AZ,Medical Devices,Healthcare,21670,8,5,8,242.61,243.39,0,,1.623,40.031403,22.1989,1207402,723641,18232473600,4.6552453,274.6049,17459982336,0.118030004,70200173,75281696,1501560,0.88686997,2.25,0.0255,49.944,4.8492312,0.196,462283008,6.05,10.91,2.16,4.458,21.376,-0.2693236,242.19,337.92,349,2.2,buy,13,898905984,11.941,816784000,126416000,1.017,1.226,3916544000,3.362,51.541,0.07021,0.1277,477267616,614545024,0.219,0.058,0.70402,0.20854999,0.15453
ALLE,Allegion plc,Dublin,,Security & Protection Services,Industrials,12200,8,3,6,115.75,115.56,1.92,0.2985,1.166,18.960848,15.41512,1510931,572024,10163233792,2.8062053,118.07975,11936132096,0.14929,86918675,87440704,1981126,0.99156,3.27,0.0297,15.449,7.523464,0.002,540700032,6.13,7.54,2.47,3.296,14.273,-0.008022547,116.23,134.89,141,2.8,hold,10,391800000,4.481,836300032,2164699904,0.819,1.305,3621700096,160.241,41.249,0.10954001,0.45151,420837504,582700032,0.007,-0.032,0.43678,0.23091,0.19253
LNT,Alliant Energy Corporation,Madison,WI,Utilities - Regulated Electric,Utilities,3281,2,5,1,50.99,51.09,1.92,0.6682,0.559,18.527273,15.676924,3960641,1532496,13062510592,3.2812135,49.7902,22697510912,0.17533001,255630405,256379008,5179691,0.81426,3.26,0.0232,26.59,1.9161339,-0.031,698000000,2.75,3.25,2.64,5.701,14.045,-0.038134813,50.95,53.01,53,2.5,buy,10,32000000,0.125,1616000000,9667000320,0.231,0.558,3980999936,141.807,15.658,0.02763,0.1062,-1072249984,986000000,-0.05,-0.043,0.44134998,0.40592998,0.21531999
ALL,Allstate Corporation (The),Northbrook,IL,Insurance - Property & Casualty,Financial Services,53000,8,5,4,162.59,161.05,3.68,0.78559995,0.5,35.122536,9.177244,2016573,1461256,42360995840,0.7232912,147.75044,46974050304,0.02305,261946524,263915008,2517701,0.79043,1.69,0.0109,63.052,2.5456765,,1219000064,4.57,17.49,0.11,0.802,17.251,0.47310936,160.51,189.5,194.5,2,buy,16,5168999936,19.586,2723000064,7939999744,0.236,0.378,58567000064,42.965,223.112,0.01259,0.07285,7650250240,5293000192,,0.107,0.16642,0.046490002,0.10296
GOOGL,Alphabet Inc.,Mountain View,CA,Internet Content & Information,Communication Services,180895,9,7,10,176.3,177,0.8,,1.01,27.550613,20.887209,58582743,26475956,2.22E+12,6.9907813,146.5528,2.14E+12,0.25902,11030009320,5873999872,54895314,0.8089,1.85,0.0094,23.653,7.5943856,0.572,82405998592,6.52,8.6,1.18,6.727,19.505,0.51791453,179.63,194.26,200,1.9,buy,44,1.08E+11,8.747,1.10E+11,28376000512,1.982,2.149,3.18E+11,9.69,25.374,0.15608,0.29764,55064125440,1.07E+11,0.609,0.154,0.57466,0.34487998,0.32516
GOOG,Alphabet Inc.,Mountain View,CA,Internet Content & Information,Communication Services,180895,9,7,10,177.71,178.4,0.8,,1.01,27.604898,21.009323,59728019,19597732,2.22E+12,6.986119,147.8892,2.15E+12,0.25902,11030009320,5616999936,38043235,0.61826,1.78,,23.653,7.6210203,0.572,82405998592,6.53,8.58,1.19,6.751,19.576,0.5136452,180.26,185.79,190.5,1.8,buy,12,1.08E+11,8.747,1.10E+11,28376000512,1.982,2.149,3.18E+11,9.69,25.374,0.15608,0.29764,55064125440,1.07E+11,0.609,0.154,0.57466,0.34487998,0.32516
MO,"Altria Group, Inc.",Richmond,VA,Tobacco,Consumer Defensive,6400,4,1,2,45.43,45.6,3.92,0.8117,0.668,9.569037,8.646503,28886684,10931996,78564392960,3.840653,42.386,1.00E+11,0.41416,1714551873,1717629952,35042610,0.62221,3.01,0.020399999,-2.977,,0.191,8453000192,4.78,5.29,2.43,4.891,8.13,0.0334388,45.74,46.55,45,2.7,hold,13,3608000000,2.101,12305999872,25041999872,0.353,0.475,20455999488,,11.557,0.20499,,13445874688,9180000256,0.21,-0.01,0.69447,0.60158,0.57706
AMZN,"Amazon.com, Inc.",Seattle,WA,Internet Retail,Consumer Cyclical,1525000,5,10,9,186.1,187.74,0,,1.142,52.96359,32.82639,72931754,39327704,1.97E+12,3.330873,160.3187,2.04E+12,0.06379,9261794333,10406599680,70812929,0.63649,1.55,0.0076,20.827,9.0786,2.288,37683998720,3.57,5.76,1.34,3.459,21.149,0.48496032,189.08,224.17,220,1.7,buy,53,85074001920,8.175,96609001472,1.61E+11,0.829,1.072,5.91E+11,74.107,57.133,0.059510004,0.20305,57269751808,99146997760,2.167,0.125,0.47594002,0.16354,0.106809996
AMCR,Amcor plc,Zurich,,Packaging & Containers,Consumer Cyclical,41000,10,3,6,9.88,9.89,0.5,1.0976,0.873,22.11111,13.445946,13631498,7947487,14381132800,1.0437751,9.3896,21732214784,0.04739,1437265930,1445340032,26141948,0.53316003,3.29,0.0182,2.731,3.6433542,0.057,650000000,0.45,0.74,2.61,1.577,11.628,-0.00100404,9.95,9.83,10,3,hold,7,461000000,0.319,1868999936,7758000128,0.612,1.285,13777999872,193.563,9.551,0.04718,0.15945,754124992,1310000000,0.084,-0.07,0.19451,0.13565,0.09909
AEE,Ameren Corporation,Saint Louis,MO,Utilities - Regulated Electric,Utilities,9372,6,5,7,71.06,71.15,2.68,0.5872,0.456,16.112385,14.336735,3325424,1615429,18733568000,2.66936,73.8895,35961593856,0.16372,265406356,266670000,3209365,0.79463995,1.92,0.0137,42.922,1.6366898,-0.011,1148999936,4.36,4.9,2.81,5.124,11.234,-0.14308369,70.25,77.33,78,2.6,hold,11,85000000,0.319,3200999936,17184000000,0.27,0.595,7017999872,148.496,26.598,0.029690001,0.10346,-1210499968,2560000000,-0.02,-0.124,0.50385,0.45611,0.25631002
AAL,"American Airlines Group, Inc.",Fort Worth,TX,Airlines,Industrials,132800,7,4,10,11.24,11.21,0,,1.498,15.774648,4.014337,28098081,33687337,7348207616,0.13820474,13.43745,38312210432,0.0094,647036297,656089984,53327236,0.593,1.69,0.0923,-8.384,,,500000000,0.71,2.79,0.12,0.721,6.466,-0.31873477,11.2,15.46,16.25,2.5,buy,14,9095999488,13.864,5925000192,40059998208,0.447,0.582,53169000448,,81.227,0.03514,,351624992,2649999872,,0.031,0.25312,0.11144,0.00804
AEP,American Electric Power Company,Columbus,OH,Utilities - Regulated Electric,Utilities,16800,7,1,2,87.88,87.49,3.52,0.6369,0.527,16.21043,14.556857,5915033,2751277,45885968384,2.3754065,81.6484,89668550656,0.14568,526199296,527121984,11592364,0.79566,3.61,0.022,48.961,1.7779459,1.527,2814200064,5.37,5.98,2.46,4.642,12.222,0.03903079,87.05,90.49,89,2.6,hold,15,447700000,0.849,7336699904,44189900800,0.271,0.536,19317100544,170.989,37.006,0.02796,0.11314,-772225024,5736600064,1.468,0.071,0.45037997,0.3798,0.24229
AXP,American Express Company,New York,NY,Credit Services,Financial Services,74600,2,7,3,230.21,231.11,2.8,0.2059,1.222,18.976936,15.472129,5064401,2905285,1.66E+11,2.9124577,195.1916,1.63E+11,0.15809,566062731,719302976,8591448,0.64757,2.5,0.0152,40.006,5.7586365,0.342,8869000192,12.14,14.89,1.17,2.859,,0.37861288,230.38,237.17,248.5,2.5,buy,24,53775998976,74.761,,50746998784,1.618,1.621,56897998848,176.425,77.996,0.03562,0.32854998,,24487999488,0.388,0.099,0.55731,,0.21673
AIG,"American International Group, I",New York,NY,Insurance - Diversified,Financial Services,25000,2,1,2,74.88,74.73,1.6,0.2152,1.092,11.19432,9.601282,14081842,4087238,49702092800,1.0276034,69.5341,60473098240,0.09984,661305351,663667968,8181951,0.93044996,2.07,0.0139,64.655,1.1583017,39.533,4784999936,6.69,7.8,2.04,1.25,5.474,0.34524882,74.89,85.13,85.5,2.2,buy,16,16888999936,25.448,11047000064,21934999552,0.221,0.812,48367001600,44.665,68.558,0.00822,0.11665,6601625088,6264999936,57,0.154,0.31106,0.2284,0.18294
AMT,American Tower Corporation (REI,Boston,MA,REIT - Specialty,Real Estate,5643,1,2,1,194.17,194.1,6.48,1.1063,0.788,44.08371,29.567526,2837037,2539740,90990084096,8.116071,189.9215,1.43E+11,0.18417999,465630131,466975008,4724808,0.94443,1.76,0.0117,8.668,22.479235,1.732,2064899968,4.42,6.59,0.89,12.76,20.426,0.03571999,194.85,222.94,223,2,buy,17,2389100032,5.116,7003500032,47841001472,0.53,0.601,11211100160,448.718,24.045,0.03897,0.17229,4854725120,4935499776,1.722,0.024,0.71075,0.62469,0.43633
AWK,"American Water Works Company, I",Camden,NJ,Utilities - Regulated Water,Utilities,6500,8,1,2,130.26,130.28,3.06,0.5729,0.665,26.4787,23.022926,1960281,1368101,25432195072,5.904852,125.93745,37980139520,0.22266,194446559,194823008,3946063,0.91492,2.42,0.0231,51.365,2.541419,0.088,959000000,4.93,5.67,3.31,8.818,16.607,-0.06910074,130.54,138.77,136.93,2.5,buy,9,656000000,3.367,2287000064,13203999744,0.712,0.855,4306999808,131.948,22.059,0.03299,0.09809,-953750016,1971000064,0.043,0.078,0.59531,0.53099996,0.33136
AMP,"Ameriprise Financial, Inc.",Minneapolis,MN,Asset Management,Financial Services,13800,3,6,5,442.22,443.17,5.92,0.1838,1.359,15.016349,11.541361,838451,461075,43790360576,2.641793,384.44135,40476372992,0.18877001,99025955,99324896,1011976,0.86259,2.06,0.0117,48.964,9.004167,1.374,3128999936,29.36,38.2,0.72,2.442,,0.37809455,440.88,463.8,472,2.2,buy,10,7260000256,73.093,,3945999872,2.24,3.108,16576000000,80.877,158.736,0.021189999,0.69356,3492624896,5072999936,1.496,0.125,0.58615,,0.36763
AME,"AMETEK, Inc.",Berwyn,PA,Specialty Industrial Machinery,Industrials,21500,4,7,8,168.52,169.08,1.12,0.18100001,1.198,29.695423,22.609919,1601078,1126369,39042043904,5.7960167,164.44765,41835257856,0.19573,230265939,231470000,2609595,0.88977,2.38,0.0127,38.745,4.353336,0.017,1318418944,5.68,7.46,2.83,6.211,20.173,0.07173717,168.67,191.13,195,2.3,buy,14,373764992,1.615,2073826048,3167046912,0.601,1.109,6736012800,35.314,29.19,0.078260005,0.15766,1184466688,1758987008,0.015,0.087,0.35650003,0.30787,0.23341
AMGN,Amgen Inc.,Thousand Oaks,CA,Drug Manufacturers - General,Healthcare,26700,2,8,2,309.89,313.13,9,1.2343,0.601,44.08584,15.061584,6933277,2514766,1.65E+11,5.5975823,283.45944,2.20E+11,0.12742,534895124,536435008,10248044,0.80997,3.61,0.0191,9.362,32.916042,,3763000064,6.99,20.46,2.91,7.437,18.839,0.3712455,308.16,318.72,325,2.4,buy,23,9708000256,18.097,11658000384,64020000768,0.836,1.422,29532000256,1274.791,55.148,0.04876,0.72574997,3753499904,8096000000,,0.22,0.66494006,0.39476,0.13334
APH,Amphenol Corporation,Wallingford,CT,Electronic Components,Technology,95000,4,10,8,68.44,68.1,0.88,0.26299998,1.264,41.90854,35.066326,10703955,7225817,82559164416,6.431344,51.9139,84988018688,0.15872,1192859499,1201209984,16505496,0.96188,2.41,0.015800001,7.226,9.511487,0.249,2037500032,1.64,1.96,2.97,6.621,27.456,0.70630586,68.73,70.33,70.5,2.2,buy,14,1963500032,1.635,3095399936,4309400064,1.304,2.057,12837000192,49.168,10.738,0.10441,0.25445,1797374976,2595800064,0.225,0.095,0.32949,0.24113001,0.21030001
ADI,"Analog Devices, Inc.",Wilmington,MA,Semiconductors,Technology,26000,3,8,9,229.51,231.42,3.68,0.8178,1.124,54.110073,28.917398,7366423,3247077,1.15E+11,10.955947,192.30115,1.20E+11,0.20454,493735773,496216992,11423508,0.91913,3.7,0.0231,71.035,3.252622,-0.691,2140418048,4.27,7.99,-26,11.506,24.733,0.23993778,231.05,254.27,257.8,2.1,buy,26,2363812096,4.764,4868165120,8119099904,1.022,1.575,10464721920,23.034,21.045,0.03418,0.06007,2882877440,4276432896,-0.683,-0.338,0.59841996,0.4652,0.18160999
ANSS,"ANSYS, Inc.",Canonsburg,PA,Software - Application,Technology,6200,2,2,2,325.68,326.84,0,,1.135,65.46278,31.104206,1322275,444282,28403054592,12.753341,319.4143,28204265472,0.19513,86928083,87300000,1336407,0.95712,3.6,0.0202,61.969,5.2502055,-0.654,434568000,4.97,10.46,5.44,12.664,41.618,0.02893734,325.35,343.39,345,2.8,hold,11,1070609024,12.264,677694976,871825984,2.699,2.804,2227107072,16.116,25.638,0.04968,0.08528,673875392,739172992,-0.653,-0.084,0.91538,0.30429,0.09288
AON,Aon plc,Dublin,,Insurance Brokers,Financial Services,50000,4,3,5,296.59,296.82,2.7,0.19229999,0.909,23.25723,17.25406,5510706,1537003,64677023744,4.7644215,311.32086,75802951680,0.19042,210544727,217431008,3400717,0.78920996,1.99,0.015800001,-0.67,,0.02,2584999936,12.79,17.24,1.98,5.584,17.201,-0.09967011,297.46,320.13,311.5,3,hold,16,6296000000,28.956,4407000064,17316999168,0.474,1.311,13575000064,,67.286,0.06921,176.13332,2800124928,3300999936,0.055,0.051,0.47816002,0.32464,0.38673002
APA,APA Corporation,Houston,TX,Oil & Gas E&P,Energy,2271,3,2,9,28.3,28.31,1,0.1122,3.248,3.1526375,5.640562,12079109,6721119,10426783744,1.2899646,34.39255,16669793280,0.3396,369262144,371192000,20695153,0.75368,3.38,0.0638,8.658,3.2443984,-0.455,2744999936,8.91,4.98,0.73,2.062,3.373,-0.14956099,28.09,39.78,37,2.7,hold,27,102000000,0.275,4942000128,5298999808,0.789,1.164,8082999808,145.059,26.437,0.13976,1.21628,1222749952,3161999872,-0.438,-0.005,0.71199,0.61140996,0.30977
AAPL,Apple Inc.,Cupertino,CA,Consumer Electronics,Technology,150000,6,1,1,209.68,210.39,1,0.14930001,1.25,32.218945,28.540579,246421353,67794775,3.18E+12,8.3372135,182.8915,3.22E+12,0.26306,15308474083,15334099968,99287450,0.57606,1.53,0.0065,4.837,42.896427,-0.022,1.00E+11,6.44,7.27,3.03,8.435,24.833,0.11993313,207.49,207.58,205,2,buy,37,67150000128,4.379,1.30E+11,1.05E+11,0.875,1.037,3.82E+11,140.968,24.537,0.22073999,1.4725,84726874112,1.11E+11,0.007,-0.043,0.45586,0.33968,0.30743
AMAT,"Applied Materials, Inc.",Santa Clara,CA,Semiconductor Equipment & Materials,Technology,34800,6,2,1,239.99,238.32,1.6,0.1471,1.56,27.027555,24.294119,15389140,4935822,1.95E+11,7.354953,176.7136,1.93E+11,0.27565,824323459,827974976,11791659,0.83153,2.7,0.0143,21.98,10.710192,0.093,7304999936,8.71,9.69,1.94,7.296,23.856,0.6839056,235.41,240.91,240,2.1,buy,29,7557000192,9.127,8104999936,5998000128,1.84,2.799,26500999168,32.958,31.795,0.1567,0.45193002,4579999744,7855000064,0.108,0.002,0.47175997,0.30584,0.28768998
APTV,Aptiv PLC,Dublin,,Auto Parts,Consumer Cyclical,154000,3,7,5,73.25,73.5,0,,1.876,7.0686088,9.704516,6794967,2519727,20461783040,1.01628,83.16995,26589810688,0.1487,270250446,272062016,6138160,1.01368,2.36,0.0256,40.876,1.839955,0.346,2980999936,10.64,7.75,0.46,1.321,9.262,-0.23153162,75.21,100.79,100.5,2,buy,22,941000000,3.459,2871000064,6769999872,0.849,1.291,20134000640,59.287,72.434,0.05382,0.29249,1058750016,2148999936,0.466,0.017,0.17756,0.14259,0.09876
ACGL,Arch Capital Group Ltd.,Pembroke,,Insurance - Diversified,Financial Services,6400,8,4,5,102.45,102.33,0,,0.598,8.041831,11.435466,4271267,1765891,38259085312,2.65559,86.80305,38492766208,0.33650002,358864999,375494016,4618764,0.88918,2.97,0.0143,49.562,2.0558088,0.566,4808000000,12.67,8.91,0.61,2.672,9.481,0.43063748,101.89,109.86,110,2.1,buy,14,3169999872,8.477,4060000000,2727000064,0.879,1.772,14407000064,14.088,38.98,0.04355,0.2905,1166000000,6350000128,0.562,0.244,0.38301,0.28181,0.2984
ADM,Archer-Daniels-Midland Company,Chicago,IL,Farm Products,Consumer Defensive,40213,2,6,4,61.01,61.16,2,0.3229,0.743,10.706806,11.174864,22497843,4009012,30333771776,0.33075753,65.78375,41111756800,0.03317,489948294,494438016,9485624,0.81544,2.46,0.0219,46.253,1.3264005,-0.377,3041999872,5.73,5.49,-2.64,0.448,9.1,-0.166893,61.35,62.14,61.5,3.1,hold,10,830000000,1.679,4518000128,11288000512,0.361,1.47,91709997056,47.954,172.468,0.03861,0.12365,4740499968,6769999872,-0.33,-0.092,0.07733,0.04926,0.03264
ANET,"Arista Networks, Inc.",Santa Clara,CA,Computer Hardware,Technology,4023,5,10,10,340.19,338.48,0,,1.079,46.92072,37.52614,4097914,2559548,1.06E+11,17.386976,250.42995,1.00E+11,0.37639,256409354,313363008,3416143,0.69855005,1.17,0.0113,25.071,13.456184,0.461,2288539904,7.19,8.99,2.21,16.502,40.095,1.2368386,337.36,323.77,325,2.1,buy,19,5449697792,17.391,2502341888,65900000,3.668,5.006,6080190976,0.838,19.559,0.16806999,0.34697,1500202496,2173336064,0.442,0.163,0.62945,0.41155997,0.42009997
